"sample_id","PTEN_ANY","PIK3R1_OUT_ANY","PIK3CA_OUT_ANY","PTEN_DEL","TP53_OUT_DEL","TP53_OUT_MUT","KRAS_OUT_ANY","SMAD4_OUT_ANY","BRAF_OUT_ANY","APC_OUT_ANY","PTEN_LOF","PTEN_WT"
"TCGA-AF-A56K-01",0,1,0,0,0,1,0,0,0,1,0,0
"TCGA-AG-3602-01",0,0,1,0,0,0,0,0,0,0,0,0
"TCGA-AG-3726-01",0,1,0,0,0,1,1,0,0,1,0,0
"TCGA-AG-3742-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-AG-3878-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AG-3887-01",0,0,1,0,0,0,1,1,0,1,0,0
"TCGA-AG-3892-01",1,1,0,0,0,0,1,0,0,1,1,0
"TCGA-AG-3901-01",1,0,1,0,0,0,1,1,0,1,1,0
"TCGA-AG-4015-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-AG-4021-01",1,0,0,0,0,1,1,0,0,0,0,0
"TCGA-AG-A002-01",1,1,0,0,0,0,0,0,1,1,1,0
"TCGA-AG-A008-01",0,0,1,0,0,0,1,1,0,1,0,0
"TCGA-AG-A00C-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-AG-A015-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AG-A016-01",0,0,1,0,0,1,0,1,0,1,0,0
"TCGA-AG-A020-01",0,0,1,0,0,1,1,1,0,1,0,0
"TCGA-AG-A026-01",0,1,0,0,0,1,0,0,0,1,0,0
"TCGA-AH-6544-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-AH-6644-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AH-6897-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-AH-6903-01",0,0,1,0,0,0,1,1,0,1,0,0
"TCGA-CI-6622-01",1,0,1,0,0,0,1,0,0,1,1,0
"TCGA-DC-4749-01",0,1,0,0,0,1,0,0,0,1,0,0
"TCGA-DC-6158-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-DY-A0XA-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-DY-A1H8-01",1,0,0,0,0,0,1,0,0,1,1,0
"TCGA-EI-6512-01",0,1,0,0,0,1,1,0,0,1,0,0
"TCGA-EI-6917-01",1,1,1,0,0,1,0,1,1,1,1,0
"TCGA-F5-6814-01",1,1,1,0,0,1,0,0,1,1,1,0
"TCGA-3L-AA1B-01",0,0,1,0,0,0,0,0,1,1,0,0
"TCGA-5M-AAT4-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-5M-AATE-01",0,0,1,0,1,1,1,0,0,1,0,0
"TCGA-A6-2674-01",0,0,1,0,0,1,1,1,0,1,0,0
"TCGA-A6-2681-01",1,0,0,1,0,1,1,0,0,1,0,0
"TCGA-A6-2683-01",0,0,1,0,0,0,0,0,0,0,0,0
"TCGA-A6-2684-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-A6-4105-01",0,1,1,0,0,1,1,0,0,1,0,0
"TCGA-A6-4107-01",0,0,1,0,0,0,1,0,0,0,0,0
"TCGA-A6-5657-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-A6-5659-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-A6-5660-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-A6-5666-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-A6-6137-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-A6-6649-01",1,0,0,1,0,1,0,0,1,0,0,0
"TCGA-A6-6654-01",0,1,0,0,0,1,1,0,0,1,0,0
"TCGA-A6-A566-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AA-3489-01",0,0,1,0,0,0,0,0,0,1,0,0
"TCGA-AA-3502-01",0,1,0,0,0,0,1,0,0,1,0,0
"TCGA-AA-3510-01",0,0,1,0,0,0,0,0,0,1,0,0
"TCGA-AA-3522-01",0,0,1,0,0,0,0,0,0,0,0,0
"TCGA-AA-3526-01",1,0,1,1,0,0,0,0,0,0,0,0
"TCGA-AA-3527-01",0,0,1,0,0,0,0,0,0,0,0,0
"TCGA-AA-3548-01",0,0,1,0,0,0,0,0,0,0,0,0
"TCGA-AA-3660-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-AA-3664-01",1,1,0,1,0,0,0,1,1,0,0,0
"TCGA-AA-3673-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-AA-3675-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AA-3680-01",1,0,0,1,0,0,1,0,0,1,0,0
"TCGA-AA-3692-01",1,0,0,0,0,0,0,1,0,1,1,0
"TCGA-AA-3696-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AA-3712-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-AA-3812-01",0,0,1,0,0,0,0,0,0,1,0,0
"TCGA-AA-3818-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AA-3837-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AA-3848-01",0,0,1,0,0,1,1,0,0,1,0,0
"TCGA-AA-3850-01",0,0,1,0,0,0,0,0,0,1,0,0
"TCGA-AA-3851-01",1,0,0,1,0,1,1,0,0,1,0,0
"TCGA-AA-3852-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AA-3855-01",0,0,1,0,0,0,0,0,0,1,0,0
"TCGA-AA-3866-01",0,1,1,0,0,1,0,0,0,1,0,0
"TCGA-AA-3952-01",1,0,0,1,0,0,0,0,0,1,0,0
"TCGA-AA-3956-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-AA-3977-01",1,0,1,0,0,1,1,0,0,1,1,0
"TCGA-AA-3984-01",0,1,1,0,0,0,0,1,0,1,0,0
"TCGA-AA-A00N-01",0,0,1,0,0,0,1,0,0,1,0,0
"TCGA-AA-A010-01",1,1,1,0,0,1,0,0,0,1,1,1
"TCGA-AA-A01C-01",0,0,1,0,0,1,0,0,0,1,0,0
"TCGA-AA-A01I-01",0,0,1,0,0,0,1,0,0,1,0,0
