"PTEN_type","OUT_type","both","PTEN_only","OUT_only","neither","p_val","log2_lower","log2_upper","log2_odds_ratio","combination"
"PTEN_ANY","APC_OUT_ANY",342,996,5425,25470,"0",0.502432447400349,0.872789368006237,0.688941238301,"PTEN_ANY APC_OUT_ANY"
"PTEN_ANY","KRAS_OUT_ANY",850,488,15529,15366,"0",0.619741658769175,0.9521098753791,0.785341298705182,"PTEN_ANY KRAS_OUT_ANY"
"PTEN_ANY","PIK3CA_OUT_ANY",342,996,5425,25470,"0",0.502432447400349,0.872789368006237,0.688941238301,"PTEN_ANY PIK3CA_OUT_ANY"
"PTEN_ANY","SMAD4_OUT_ANY",306,1032,5157,25738,"0",0.371614617864656,0.756083908497432,0.565402203890838,"PTEN_ANY SMAD4_OUT_ANY"
"PTEN_ANY","TP53_OUT_DEL",0,1338,0,30895,"1",-Inf,Inf,-Inf,"PTEN_ANY TP53_OUT_DEL"
"PTEN_ANY","TP53_OUT_MUT",808,530,24285,6610,"0",-1.43362319967888,-1.10314692710329,-1.2688167584278,"PTEN_ANY TP53_OUT_MUT"
"PTEN_DEL","APC_OUT_ANY",0,0,5767,26466,"1",-Inf,Inf,-Inf,"PTEN_DEL APC_OUT_ANY"
"PTEN_DEL","KRAS_OUT_ANY",0,0,16379,15854,"1",-Inf,Inf,-Inf,"PTEN_DEL KRAS_OUT_ANY"
"PTEN_DEL","PIK3CA_OUT_ANY",0,0,5767,26466,"1",-Inf,Inf,-Inf,"PTEN_DEL PIK3CA_OUT_ANY"
"PTEN_DEL","SMAD4_OUT_ANY",0,0,5463,26770,"1",-Inf,Inf,-Inf,"PTEN_DEL SMAD4_OUT_ANY"
"PTEN_DEL","TP53_OUT_DEL",0,0,0,32233,"1",-Inf,Inf,-Inf,"PTEN_DEL TP53_OUT_DEL"
"PTEN_DEL","TP53_OUT_MUT",0,0,25093,7140,"1",-Inf,Inf,-Inf,"PTEN_DEL TP53_OUT_MUT"
"PTEN_lof","APC_OUT_ANY",410,1759,5321,24657,"0.1814",-0.0533439897930849,0.273098089178491,0.11116488907889,"PTEN_lof APC_OUT_ANY"
"PTEN_lof","KRAS_OUT_ANY",1298,871,15025,14953,"0",0.439250781111409,0.698396303325205,0.568615876713783,"PTEN_lof KRAS_OUT_ANY"
