"alleleFreq_SV","htsp_trunc","htsp_point","Assigned"
NA,0,0,"MT-L"
0.0587,0,1,"MT-H"
0.3872,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.253,1,0,"MT-H"
0.1178,0,0,"MT-L"
0.1407,0,0,"MT-L htmb"
0.124,1,0,"MT-L htmb"
0.3215,1,0,"MT-L"
0.2012,0,1,"MT-L"
0.4291,1,0,"MT-L"
0.449,1,0,"MT-L"
0.2999,0,0,"MT-L"
0.0594,0,1,"MT-L"
0.1245,0,0,"MT-L htmb"
0.1319,0,1,"MT-L htmb"
0.146,0,1,"MT-L htmb"
NA,0,0,"MT-L"
0.3745,0,1,"MT-L"
NA,0,0,"MT-L"
0.3821,0,0,"MT-L htmb"
0.3693,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1916,0,1,"MT-L"
0.0734,0,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1395,1,0,"MT-L htmb"
0.1027,0,0,"MT-L htmb"
0.1406,0,0,"MT-L"
0.3029,0,0,"MT-H"
0.0832,0,0,"MT-H"
NA,0,0,"MT-L"
0.0361,0,0,"MT-L"
0.1775,0,1,"MT-L"
NA,0,0,"MT-L"
0.4,0,0,"MT-L"
0.2046,0,0,"MT-L"
0.8443,1,0,"MT-L"
0.0503,0,0,"MT-H"
0.8185,1,0,"MT-L"
NA,0,0,"MT-L"
0.1976,1,0,"MT-L htmb"
0.18,0,1,"MT-L htmb"
0.0637,0,1,"MT-L htmb"
0.3551,1,0,"MT-H"
NA,0,0,"MT-L"
0.2012,0,0,"MT-L"
0.3677,0,0,"MT-L"
0.0758,0,0,"MT-L"
0.4633,1,0,"MT-L"
NA,0,0,"MT-L"
0.238,0,0,"MT-H"
0.332,0,0,"MT-L"
0.263,0,0,"MT-L"
0.5779,0,0,"MT-L"
0.2557,1,0,"MT-H"
NA,0,0,"MT-L"
0.4165,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1231,0,0,"MT-L"
0.2372,0,0,"MT-L"
0.2419,0,0,"MT-L"
0.46,1,0,"MT-L"
0.3659,0,1,"MT-L htmb"
0.0193,0,1,"MT-H"
NA,0,0,"MT-L"
0.6614,0,0,"MT-L"
0.6224,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2176,0,1,"MT-L"
0.1536,1,0,"MT-H"
0.1509,1,0,"MT-H"
0.0906,1,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1785,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1488,1,0,"MT-L"
0.0591,0,0,NA
NA,0,0,"MT-L"
0.6386,0,0,"MT-L"
0.2868,0,1,"MT-L"
0.2953,1,0,"MT-L"
NA,0,0,"MT-L"
0.2516,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.4103,1,0,"MT-H"
0.3864,1,0,"MT-H"
0.24,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.3308,1,0,"MT-L"
0.245,0,0,"MT-L"
0.1696,0,0,"MT-L"
