"did","gene","AF"
"XRN:02H18T","PTEN",0.4508
"XRN:02H18T","TP53",0.4506
"XRN:09JV9N","APC",0.0332
"XRN:09JV9N","KRAS",0.0736
"XRN:09JV9N","PTEN",0.0758
"XRN:09JV9N","TP53",0.0699
"XRN:0D3YBA","KRAS",0.24
"XRN:0D3YBA","PTEN",0.1343
"XRN:0D3YBA","TP53",0.2168
"XRN:0EECWE","KRAS",0.1565
"XRN:0EECWE","PTEN",0.0472
"XRN:0EECWE","TP53",0.2268
"XRN:0GB8JC","APC",0.3549
"XRN:0GB8JC","KRAS",0.3368
"XRN:0GB8JC","PTEN",0.5135
"XRN:0JYS2X","APC",0.6994
"XRN:0JYS2X","KRAS",0.7873
"XRN:0JYS2X","PTEN",0.3454
"XRN:0MJQCT","APC",0.751
"XRN:0MJQCT","KRAS",0.3909
"XRN:0MJQCT","PTEN",0.3677
"XRN:0NX03F","APC",0.6369
"XRN:0NX03F","KRAS",0.0388
"XRN:0NX03F","PIK3CA",0.1426
"XRN:0NX03F","PTEN",0.1775
"XRN:0PMKF4","APC",0.3712
"XRN:0PMKF4","PTEN",0.3567
"XRN:0PMKF4","TP53",0.3935
"XRN:0PUD2C","APC",0.2598
"XRN:0PUD2C","KRAS",0.3017
"XRN:0PUD2C","PIK3CA",0.2767
"XRN:0PUD2C","PTEN",0.2965
"XRN:0PUD2C","TP53",0.4034
"XRN:0R6SVD","APC",0.2096
"XRN:0R6SVD","KRAS",0.2032
"XRN:0R6SVD","PTEN",0.2842
"XRN:0SG8KF","APC",0.2929
"XRN:0SG8KF","PIK3CA",0.2585
"XRN:0SG8KF","PTEN",0.581
"XRN:0SG8KF","TP53",0.0897
"XRN:0X693E","APC",0.2701
"XRN:0X693E","KRAS",0.3016
"XRN:0X693E","PTEN",0.3937
"XRN:0X693E","TP53",0.3227
"XRN:0X8PCE","APC",0.3821
"XRN:0X8PCE","KRAS",0.3943
"XRN:0X8PCE","PTEN",0.6818
"XRN:0X8PCE","TP53",0.6538
"XRN:10CJ9F","APC",0.49
"XRN:10CJ9F","KRAS",0.29
"XRN:10CJ9F","PTEN",0.3
"XRN:10CJ9F","TP53",0.07
"XRN:113929","APC",0.09
"XRN:113929","PIK3CA",0.1
"XRN:113929","PTEN",0.09
